"一工路","Yigong Rd."
"甲樹路","Jiashu Rd."
"甲興路","Jiasing Rd."
"甲頭厝","Jiatoucuo"
"白不仔路","Baibuzai Rd."
"白水湖","Baishueihu"
"白水溪","Baishueisi"
"白布帆","Baibufan"
"白玉一路","Baiyu 1st Rd."
"白玉二路","Baiyu 2nd Rd."
"白玉三路","Baiyu 3rd Rd."
"白玉北路","Baiyu N. Rd."
"白玉南路","Baiyu S. Rd."
"白石","Baishih"
"白石下","Baishihsia"
"白石湖","Baishihhu"
"白石腳","Baishihjiao"
"白石腳路","Baishihjiao Rd."
"白地街","Baidi St."
"白米巷","Baimi Ln."
"白米路","Baimi Rd."
"白西","Baisi"
"白杞","Baici"
"白沙屯","Baishatun"
"白沙村","Baisha Vil."
"白沙路","Baisha Rd."
"白沙灣別墅","Pak Sha Wan Villa"
"白東","Baidong"
"白東里中山路","Zhongshan Rd., Baidong Vil."
"白砂路","Baisha Rd."
"白埔林","Baipulin"
"白宮街","Baigong St."
"白馬莊","Baima Vil."
"白雲一路","Baiyun 1st Rd."
"白雲二路","Baiyun 2nd Rd."
"白雲三路","Baiyun 3rd Rd."
"白雲山莊","Baiyun Villa"
"白雲五路","Baiyun 5th Rd."
"白雲六路","Baiyun 6th Rd."
"白雲巷","Baiyun Ln."
"白雲路","Baiyun Rd."
"白猿坑","Baiyuankeng"
"白端","Baiduan"
"白蓮路","Bailian Rd."
"白樹脚","Baishujiao"
"白樹路","Baishu Rd."
"白樹路六合巷","Liouhe Ln., Baishu Rd."
"白樹路先永巷","Sianyong Ln., Baishu Rd."
"白樹路合作巷","Hezuo Ln., Baishu Rd."
"白樹路長壽巷","Changshou Ln., Baishu Rd."
"白樹路界樹巷","Jieshu Ln., Baishu Rd."
"白樹路莒光巷","Jyuguang Ln., Baishu Rd."
"白樹路新興巷","Sinsing Ln., Baishu Rd."
"白鮠","Baiwei"
"白鴿厝農場","Baigecuo Farm"
"白雞","Baiji"
"白蘭","Bailan"
"白鷺路","Bailu Rd."
"皮仔寮巷","Pizailiao Ln."
"目加溜灣大道","Mujialiouwan Blvd."
"目崙巷","Mulun Ln."
"石子坑","Shihzihkeng"
"石子崎","Shihzihci"
"石子瀨","Shihzihlai"
"石山店仔","Shihshandianzai"
"石川路","Shihchuan Rd."
"石川路味全巷","Weicyuan Ln., Shihchuan Rd."
"石井","Shihjing"
"石內","Shihnei"
"石化一路","Shihhua 1st Rd."
"石化二路","Shihhua 2nd Rd."
"石化三路","Shihhua 3rd Rd."
"石化四路","Shihhua 4th Rd."
"石仔缸","Shihzaigang"
"石仔湖","Shihzaihu"
"石仙路","Shihsian Rd."
"石古坪","Shihguping"
"石平","Shihping"
"石平街","Shihping St."
"石平路","Shihping Rd."
"石光街","Shihguang St."
"石安","Shih'an"
"石安路","Shih'an Rd."
"石尖巷","Shihjian Ln."
"石汐路","Shihsi Rd."
"石坊街","Shihfang St."
"石坑","Shihkeng"
"石坑一巷","Shihkeng 1st Ln."
"石坑二巷","Shihkeng 2nd Ln."
"石坑街","Shihkeng St."
"石坑路","Shihkeng Rd."
"石尾路","Shihwei Rd."
"石灼坑","Shihzhuokeng"
"石灼巷","Shihzhuo Ln."
"石角","Shihjiao"
"石車","Shihche"
"石岡子","Shihgangzih"
"石岡街","Shihgang St."
"石岡街下坑巷","Siakeng Ln., Shihgang St."
"石岡街金川巷","Jinchuan Ln., Shihgang St."
"石岡街廟前巷","Miaocian Ln., Shihgang St."
"石岡街頭坪巷","Touping Ln., Shihgang St."
"石岩巷","Shihyan Ln."
"石底街","Shihdi St."
"石林路","Shihlin Rd."
"石空子","Shihkongzih"
"石空路","Shihkong Rd."
"石門","Shihmen"
"石門埔","Shihmenpu"
"石門街","Shihmen St."
"石門新村","Shihmen New Village"
"石門溪","Shihmensi"
"石門路","Shihmen Rd."
"石保路","Shihbao Rd."
"石城街","Shihcheng St."
"石城街石山巷","Shihshan Ln., Shihcheng St."
"石城街石嵙巷","Shihke Ln., Shihcheng St."
"石城街圳寮巷","Zunliao Ln., Shihcheng St."
"石城街竹山巷","Zhushan Ln., Shihcheng St."
"石城街珍東巷","Zhendong Ln., Shihcheng St."
"石城街崁下巷","Kansia Ln., Shihcheng St."
"石城街復興巷","Fusing Ln., Shihcheng St."
"石城路","Shihcheng Rd."
"石屋","Shihwu"
"石峎","Shihlang"
"石泉","Shihcyuan"
"石崁","Shihkan"
"石崁巷","Shihkan Ln."
"石笋","Shihsun"
"石馬店","Shihmadian"
"石埤巷","Shihpi Ln."
"石崎子","Shihcizih"
"石崗","Shihgang"
"石崩山","Shihbengshan"
"石曹子坑","Shihcaozihkeng"
"石桶","Shihtong"
"石梯","Shihti"
"石梯坪","Shihtiping"
"石梯港","Shihtigang"
"石梯灣","Shihtiwan"
"石脚桶","Shihjiaotong"
"石莊路","Shihzhuang Rd."
"石麻園","Shihmayuan"
"石傘路","Shihsan Rd."
"石斑路","Shihban Rd."
"石棹","Shihzhuo"
"石牌","Shihpai"
"石牌路","Shihpai Rd."
"石牌路一段","Sec. 1, Shihpai Rd."
"石牌路二段","Sec. 2, Shihpai Rd."
"石牌嶺","Shihpailing"
"石硤內","Shihsianei"
"石硦","Shihnong"
"石硬子","Shihyingzih"
"石筍尖","Shihsunjian"
"石雅","Shihya"
"石雲路","Shihyun Rd."
"石園路","Shihyuan Rd."
"石椿臼","Shihchunjiou"
"石獅","Shihshih"
"石硿子","Shihkongzih"
"石碇子埔","Shihdingzihpu"
"石碇西街","Shihding W. St."
"石碇東街","Shihding E. St."
"石碑巷","Shihbei Ln."
"石鼓盤","Shihgupan"
"石榴路","Shihliou Rd."
"石碣後","Shihjiehou"
"石寮","Shihliao"
"石廟","Shih Temple"
"石潭北一街","Shihtan N. 1st St."
"石潭北二街","Shihtan N. 2nd St."
"石潭北三街","Shihtan N. 3rd St."
"石潭北街","Shihtan N. St."
"石潭東一街","Shihtan E. 1st St."
"石潭東街","Shihtan E. St."
"石潭路","Shihtan Rd."
"石潭路橫巷","Side Ln., Shihtan Rd."
"石盤巷","Shihpan Ln."
"石盤巃","Shihpanlong"
"石磊","Shihlei"
"石墻","Shihciang"
"石壁","Shihbi"
"石壁坑","Shihbikeng"
"石壁坑街","Shihbikeng St."
"石壁坑路","Shihbikeng Rd."
"石壁脚","Shihbijiao"
"石壁街","Shihbi St."
"石壁腳","Shihbijiao"
"石壁潭","Shihbitan"
"石壁頭","Shihbitou"
"石橋","Shihciao"
"石橋路","Shihciao Rd."
"石頭城路","Shihtoucheng Rd."
"石頭厝","Shihtoucuo"
"石頭厝路","Shihtoucuo Rd."
"石頭埔","Shihtoupu"
"石龜坑","Shihgueikeng"
"石螺仔","Shihluozai"
"石鎮","Shihzhen"
"石鵝路","Shih'e Rd."
"石鵝路石鵝巷","Shih'e Ln., Shih'e Rd."
"石灘","Shihtan"
"石﻿𥔽巷","Shihta Ln."
"石﻿𥕢","Shihcao"
"禾田巷","Hetian Ln."
"禾和一街","Hehe 1st St."
"禾豐一路","Hefong 1st Rd."
"禾豐七路","Hefong 7th Rd."
"禾豐九路","Hefong 9th Rd."
"禾豐二路","Hefong 2nd Rd."
"禾豐十一路","Hefong 11th Rd."
"禾豐三路","Hefong 3rd Rd."
"禾豐五路","Hefong 5th Rd."
"禾豐六路","Hefong 6th Rd."
"立人南街","Liren S. St."
"立人街","Liren St."
"立人路","Liren Rd."
"立大路","Lida Rd."
"立山","Lishan"
"立中一街","Lizhong 1st St."
"立中二街","Lizhong 2nd St."
"立中三街","Lizhong 3rd St."
"立中五街","Lizhong 5th St."
"立中六街","Lizhong 6th St."
"立中街","Lizhong St."
"立中路","Lizhong Rd."
"立仁一路","Liren 1st Rd."
"立仁二路","Liren 2nd Rd."
"立仁三路","Liren 3rd Rd."
"立仁五路","Liren 5th Rd."
"立仁四路","Liren 4th Rd."
"立仁街","Liren St."
"立仁路","Liren Rd."
"立元路","Liyuan Rd."
"立文街","Liwun St."
"立文路","Liwun Rd."
"立功街","Ligong St."
"立功路","Ligong Rd."
"立民路","Limin Rd."
"立全新村","Licyuan New Village"
"立安路","Li'an Rd."
"立竹街","Lizhu St."
"立行街","Lising St."
"立志街","Lizhi St."
"立言街","Liyan St."
"立和路","Lihe Rd."
"立忠路","Lizhong Rd."
"立昌街","Lichang St."
"立明街","Liming St."
"立信一街","Lisin 1st St."
"立信三街","Lisin 3rd St."
"立信五街","Lisin 5th St."
"立信街","Lisin St."
"立信路","Lisin Rd."
"立強街","Liciang St."
"立清街","Licing St."
"立莊路","Lizhuang Rd."
"立富街","Lifu St."
"立智街","Lizhi St."
"立華街","Lihua St."
"立隆街","Lilong St."
"立雲街","Liyun St."
"立新一街","Lisin 1st St."
"立新二街","Lisin 2nd St."
"立新街","Lisin St."
"立業街","Liye St."
"立業路","Liye Rd."
"立群街","Licyun St."
"立群路","Licyun Rd."
"立農街一段","Sec. 1, Linong St."
"立農街二段","Sec. 2, Linong St."
"立道路","Lidao Rd."
"立達街","Lida St."
"立德","Lide"
"立德一路","Lide 1st Rd."
"立德七路","Lide 7th Rd."
"立德九路","Lide 9th Rd."
"立德二路","Lide 2nd Rd."
"立德八路","Lide 8th Rd."
"立德十一路","Lide 11th Rd."
"立德十路","Lide 10th Rd."
"立德三路","Lide 3rd Rd."
"立德五路","Lide 5th Rd."
"立德六路","Lide 6th Rd."
"立德四路","Lide 4th Rd."
"立德西街","Lide W. St."
"立德東街","Lide E. St."
"立德街","Lide St."
"立德路","Lide Rd."
"立賢路","Lisian Rd."
"立賢路一段","Sec. 1, Lisian Rd."
"立賢路二段","Sec. 2, Lisian Rd."
"立勳巷","Lisyun Ln."
"立學街","Lisyue St."
"立憲街","Lisian St."
"立興街","Lising St."
"立鵬路","Lipeng Rd."
"交力坪","Jiaoliping"
"仰山莊","Yang Villa"
"仰德大道一段","Sec. 1, Yangde Blvd."
"仰德大道二段","Sec. 2, Yangde Blvd."
"仰德大道三段","Sec. 3, Yangde Blvd."
"仰德大道四段","Sec. 4, Yangde Blvd."
"仰德街","Yangde St."
"仰德路","Yangde Rd."
"仲生路","Zhongsheng Rd."
"份尾一路","Fenwei 1st Rd."
"份尾二路","Fenwei 2nd Rd."
"份尾三路","Fenwei 3rd Rd."
"伊通街","Yitong St."
"伊犂街","Yili St."
"伊達邵路","Yidashau Rd."
"伊寧街","Yining St."
"伍伯巷","Wubo Ln."
"伏波巷","Fupo Ln."
"休閒街","Siousian St."
"兆進","Zhaojin"
"兆豐路","Zhaofong Rd."
"先勝路","Siansheng Rd."
"先鋒路","Sianfong Rd."
"光一路","Guang 1st Rd."
"光一橫巷","Guang 1st Side Ln."
"光二路","Guang 2nd Rd."
"光二橫巷","Guang 2nd Side Ln."
"光大一巷","Guangda 1st Ln."
"光大二巷","Guangda 2nd Ln."
"光大三巷","Guangda 3rd Ln."
"光大五巷","Guangda 5th Ln."
"光大四巷","Guangda 4th Ln."
"光大巷","Guangda Ln."
"光大街","Guangda St."
"光大路","Guangda Rd."
"光大寮","Guangdaliao"
"光山","Guangshan"
"光山街","Guangshan St."
"光中路","Guangzhong Rd."
"光仁巷","Guangren Ln."
"光仁街","Guangren St."
"光化一巷","Guanghua 1st Ln."
"光化二巷","Guanghua 2nd Ln."
"光天路","Guangtian Rd."
"光心巷","Guangsin Ln."
"光文街","Guangwun St."
"光文路","Guangwun Rd."
"光日路","Guangrih Rd."
"光平街","Guangping St."
"光正巷","Guangzheng Ln."
"光正街","Guangzheng St."
"光正路","Guangzheng Rd."
"光民路","Guangmin Rd."
"光宇一路","Guangyu 1st Rd."
"光宇二路","Guangyu 2nd Rd."
"光宇三路","Guangyu 3rd Rd."
"光宇大道","Guangyu Blvd."
"光安街","Guang'an St."
"光州一街","Guangzhou 1st St."
"光州七街","Guangzhou 7th St."
"光州二街","Guangzhou 2nd St."
"光州八街","Guangzhou 8th St."
"光州三街","Guangzhou 3rd St."
"光州五街","Guangzhou 5th St."
"光州六街","Guangzhou 6th St."
"光州四街","Guangzhou 4th St."
"光州路","Guangzhou Rd."
"光西巷","Guangsi Ln."
"光和","Guanghe"
"光和北路","Guanghe N. Rd."
"光和街","Guanghe St."
"光和路","Guanghe Rd."
"光昌路","Guangchang Rd."
"光明一巷","Guangming 1st Ln."
"光明一街","Guangming 1st St."
"光明一路","Guangming 1st Rd."
"光明七街","Guangming 7th St."
"光明九路","Guangming 9th Rd."
"光明二巷","Guangming 2nd Ln."
"光明二街","Guangming 2nd St."
"光明二路","Guangming 2nd Rd."
"光明八街","Guangming 8th St."
"光明十一路","Guangming 11th Rd."
"光明十二街","Guangming 12th St."
"光明十八街","Guangming 18th St."
"光明十三街","Guangming 13th St."
"光明十五街","Guangming 15th St."
"光明十四街","Guangming 14th St."
"光明十街","Guangming 10th St."
"光明十街一段","Sec. 1, Guangming 10th St."
"光明三巷","Guangming 3rd Ln."
"光明三街","Guangming 3rd St."
"光明三路","Guangming 3rd Rd."
"光明中巷","Guangming Central Ln."
"光明五巷","Guangming 5th Ln."
"光明五街","Guangming 5th St."
"光明五路","Guangming 5th Rd."
"光明六巷","Guangming 6th Ln."
"光明六街","Guangming 6th St."
"光明六路","Guangming 6th Rd."
"光明六路東一段","Dong Sec. 1, Guangming 6th Rd."
"光明六路東二段","Dong Sec. 2, Guangming 6th Rd."
"光明北巷","Guangming N. Ln."
"光明四巷","Guangming 4th Ln."
"光明四街","Guangming 4th St."
"光明四路","Guangming 4th Rd."
"光明西路","Guangming W. Rd."
"光明東街","Guangming E. St."
"光明東路","Guangming E. Rd."
"光明南巷","Guangming S. Ln."
"光明南街","Guangming S. St."
"光明南路","Guangming S. Rd."
"光明巷","Guangming Ln."
"光明街","Guangming St."
"光明新村","Guangming New Village"
"光明路","Guangming Rd."
"光明路一段","Sec. 1, Guangming Rd."
"光明路九﻿𡒸坪巷","Jioucengping Ln., Guangming Rd."
"光明路二段","Sec. 2, Guangming Rd."
"光明路二段光明巷","Guangming Ln., Sec. 2, Guangming Rd."
"光明路三段","Sec. 3, Guangming Rd."
"光明路市場巷","Shihchang Ln., Guangming Rd."
"光明路永基巷","Yongji Ln., Guangming Rd."
"光明路竹田巷","Zhutian Ln., Guangming Rd."
"光明路耳空龜巷","Erkongguei Ln., Guangming Rd."
"光明路頂﻿𥿄寮坑巷","Dingzhiliaokeng Ln., Guangming Rd."
"光明路景新巷","Jingsin Ln., Guangming Rd."
"光明路勤農巷","Cinnong Ln., Guangming Rd."
"光明路新生巷","Sinsheng Ln., Guangming Rd."
"光明路新田巷","Sintian Ln., Guangming Rd."
"光明路新吉巷","Sinji Ln., Guangming Rd."
"光明路新庄巷","Sinzhuang Ln., Guangming Rd."
"光明路溪北巷","Sibei Ln., Guangming Rd."
"光明路廣福巷","Guangfu Ln., Guangming Rd."
"光東巷","Guangdong Ln."
"光林巷","Guanglin Ln."
"光林路","Guanglin Rd."
"光武一巷","Guangwu 1st Ln."
"光武二巷","Guangwu 2nd Ln."
"光武三巷","Guangwu 3rd Ln."
"光武四巷","Guangwu 4th Ln."
"光武巷","Guangwu Ln."
"光武街","Guangwu St."
"光武路","Guangwu Rd."
"光信巷","Guangsin Ln."
"光前巷","Guangcian Ln."
"光前街","Guangcian St."
"光前路","Guangcian Rd."
"光城路","Guangcheng Rd."
"光春路","Guangchun Rd."
"光春路富國巷","Fuguo Ln., Guangchun Rd."
"光美街","Guangmei St."
"光峯路","Guangfong Rd."
"光峯路龍田一巷","Longtian 1st Ln., Guangfong Rd."
"光峯路龍田二巷","Longtian 2nd Ln., Guangfong Rd."
"光峯路龍田三巷","Longtian 3rd Ln., Guangfong Rd."
"光啓路","Guangci Rd."
"光彩街","Guangcai St."
"光盛街","Guangsheng St."
"光富路","Guangfu Rd."
"光復","Guangfu"
"光復一街","Guangfu 1st St."
"光復一路","Guangfu 1st Rd."
"光復二街","Guangfu 2nd St."
"光復二路","Guangfu 2nd Rd."
"光復三街","Guangfu 3rd St."
"光復三路","Guangfu 3rd Rd."
"光復五路","Guangfu 5th Rd."
"光復北街","Guangfu N. St."
"光復北路","Guangfu N. Rd."
"光復四路","Guangfu 4th Rd."
"光復西路","Guangfu W. Rd."
"光復東路","Guangfu E. Rd."
"光復南路","Guangfu S. Rd."
"光復巷","Guangfu Ln."
"光復巷雙龍林道","Shuanglonglindao, Guangfu Ln."
"光復街","Guangfu St."
"光復街新生巷","Sinsheng Ln., Guangfu St."
"光復新路","Guangfusin Rd."
"光復路","Guangfu Rd."
"光復路一段","Sec. 1, Guangfu Rd."
"光復路二段","Sec. 2, Guangfu Rd."
"光復路二段清大西院","Cingda Siyuan, Sec. 2, Guangfu Rd."
"光復路二段清大東院","Cingda Dongyuan, Sec. 2, Guangfu Rd."
"光復路三段","Sec. 3, Guangfu Rd."
"光復路台電新村","Taidian New Village, Guangfu Rd."
"光復路四段","Sec. 4, Guangfu Rd."
"光復路民生巷","Minsheng Ln., Guangfu Rd."
"光復路合作大樓","Hezuo Bldg., Guangfu Rd."
"光復路義昌巷","Yichang Ln., Guangfu Rd."
"光智巷","Guangzhi Ln."
"光華","Guanghua"
"光華一巷","Guanghua 1st Ln."
"光華一街","Guanghua 1st St."
"光華一路","Guanghua 1st Rd."
"光華七街","Guanghua 7th St."
"光華七路","Guanghua 7th Rd."
"光華九街","Guanghua 9th St."
"光華二街","Guanghua 2nd St."
"光華二路","Guanghua 2nd Rd."
"光華二路一街","1st St., Guanghua 2nd Rd."
"光華二路二街","2nd St., Guanghua 2nd Rd."
"光華八街","Guanghua 8th St."
"光華十街","Guanghua 10th St."
"光華十路","Guanghua 10th Rd."
"光華三巷","Guanghua 3rd Ln."
"光華三街","Guanghua 3rd St."
"光華三路","Guanghua 3rd Rd."
"光華五街","Guanghua 5th St."
"光華五路","Guanghua 5th Rd."
"光華六街","Guanghua 6th St."
"光華六路","Guanghua 6th Rd."
"光華北街","Guanghua N. St."
"光華北路","Guanghua N. Rd."
"光華四路","Guanghua 4th Rd."
"光華四路一街","1st St., Guanghua 4th Rd."
"光華西街","Guanghua W. St."
"光華東一街","Guanghua E. 1st St."
"光華東街","Guanghua E. St."
"光華東路","Guanghua E. Rd."
"光華南街","Guanghua S. St."
"光華南路","Guanghua S. Rd."
"光華巷","Guanghua Ln."
"光華街","Guanghua St."
"光華街仁愛巷","Ren'ai Ln., Guanghua St."
"光華街合園一巷","Heyuan 1st Ln., Guanghua St."
"光華街合園二巷","Heyuan 2nd Ln., Guanghua St."
"光華街合園三巷","Heyuan 3rd Ln., Guanghua St."
"光華新村","Guanghua New Village"
"光華新路","Guanghuasin Rd."
"光華路","Guanghua Rd."
"光華路一段","Sec. 1, Guanghua Rd."
"光華路二段","Sec. 2, Guanghua Rd."
"光華路東巷","E. Ln., Guanghua Rd."
"光華農場","Guanghua Farm"
"光進一巷","Guangjin 1st Ln."
"光進二巷","Guangjin 2nd Ln."
"光進三巷","Guangjin 3rd Ln."
"光陽街","Guangyang St."
"光隆街","Guanglong St."
"光雲巷","Guangyun Ln."
"光照街","Guangzhao St."
"光義巷","Guangyi Ln."
"光聖巷","Guangsheng Ln."
"光聖路","Guangsheng Rd."
"光裕北街","Guangyu N. St."
"光裕南街","Guangyu S. St."
"光裕路","Guangyu Rd."
"光路","Guang Rd."
"光榮一街","Guangrong 1st St."
"光榮二街","Guangrong 2nd St."
"光榮三街","Guangrong 3rd St."
"光榮五街","Guangrong 5th St."
"光榮北路","Guangrong N. Rd."
"光榮北路一街","1st St., Guangrong N. Rd."
"光榮北路七街","7th St., Guangrong N. Rd."
"光榮北路二街","2nd St., Guangrong N. Rd."
"光榮北路三街","3rd St., Guangrong N. Rd."
"光榮北路五街","5th St., Guangrong N. Rd."
"光榮北路六街","6th St., Guangrong N. Rd."
"光榮北路四街","4th St., Guangrong N. Rd."
"光榮四街","Guangrong 4th St."
"光榮西路","Guangrong W. Rd."
"光榮西路一街","1st St., Guangrong W. Rd."
"光榮東路","Guangrong E. Rd."
"光榮東路一街","1st St., Guangrong E. Rd."
"光榮東路二街","2nd St., Guangrong E. Rd."
"光榮南街","Guangrong S. St."
"光榮南路","Guangrong S. Rd."
"光榮南路一街","1st St., Guangrong S. Rd."
"光榮南路二街","2nd St., Guangrong S. Rd."
"光榮南路三街","3rd St., Guangrong S. Rd."
"光榮南路四街","4th St., Guangrong S. Rd."
"光榮巷","Guangrong Ln."
"光榮街","Guangrong St."
"光榮路","Guangrong Rd."
"光榮路一段","Sec. 1, Guangrong Rd."
"光榮路二段","Sec. 2, Guangrong Rd."
"光榮路三段","Sec. 3, Guangrong Rd."
"光福一街","Guangfu 1st St."
"光福七街","Guangfu 7th St."
"光福九街","Guangfu 9th St."
"光福二街","Guangfu 2nd St."
"光福八街","Guangfu 8th St."
"光福三街","Guangfu 3rd St."
"光福五街","Guangfu 5th St."
"光福六街","Guangfu 6th St."
"光福四街","Guangfu 4th St."
"光遠一街","Guangyuan 1st St."
"光遠二街","Guangyuan 2nd St."
"光遠三街","Guangyuan 3rd St."
"光遠四街","Guangyuan 4th St."
"光遠東路","Guangyuan E. Rd."
"光遠路","Guangyuan Rd."
"光德路","Guangde Rd."
"光潭路","Guangtan Rd."
"光賢街","Guangsian St."
"光輝一街","Guanghuei 1st St."
"光輝二街","Guanghuei 2nd St."
"光輝三街","Guanghuei 3rd St."
"光輝五街","Guanghuei 5th St."
"光輝巷","Guanghuei Ln."
"光輝街","Guanghuei St."
"光輝路","Guanghuei Rd."
"光輪一巷","Guanglun 1st Ln."
"光輪二巷","Guanglun 2nd Ln."
"光輪三巷","Guanglun 3rd Ln."
"光輪五巷","Guanglun 5th Ln."
"光輪路","Guanglun Rd."
"光勳巷","Guangsyun Ln."
"光澤巷","Guangze Ln."
"光興巷","Guangsing Ln."
"光興街","Guangsing St."
"光興路","Guangsing Rd."
"光興路一七七八南巷","1778th S. Ln., Guangsing Rd."
"光興路二一四０南巷","2140th S. Ln., Guangxing Rd."
"光興路八九０南巷","890th S. Ln., Guangxing Rd."
"光興路中南巷","Zhongnan Ln., Guangsing Rd."
"光興路內湖巷","Neihu Ln., Guangsing Rd."
"光興路四０一南巷","401th S. Ln., Guangxing Rd."
"光環路一段","Sec. 1, Guanghuan Rd."
"光環路二段","Sec. 2, Guanghuan Rd."
"光豐路","Guangfong Rd."
"光麗新城","Guangli Sincheng"
"光耀街","Guangyao St."
"全天路","Cyuantian Rd."
"全仔社","Cyuanzaishe"
"全民街","Cyuanmin St."
"全家福","Cyuanjiafu"
"全家福新村","Cyuanjiafu New Village"
"全祿街","Cyuanlu St."
"全福街","Cyuanfu St."
"全福路","Cyuanfu Rd."
"全興路","Cyuansing Rd."
"全興路全福巷","Cyuanfu Ln., Cyuansing Rd."
"共存巷","Gongcun Ln."
"共和巷","Gonghe Ln."
"共和街","Gonghe St."
"共和路","Gonghe Rd."
"共興一街","Gongsing 1st St."
"共興二街","Gongsing 2nd St."
"再連路","Zailian Rd."
"再發路","Zaifa Rd."
"再興","Zaising"
"再興路","Zaising Rd."
"合心路","Hesin Rd."
"合圳北路","Hezun N. Rd."
"合圳北路二段","Sec. 2, Hezun N. Rd."
"合圳北路三段","Sec. 3, Hezun N. Rd."
"合圳南路","Hezun S. Rd."
"合安一路","He'an 1st Rd."
"合成巷","Hecheng Ln."
"合江二路","Hejiang 2nd Rd."
"合江街","Hejiang St."
"合江路","Hejiang Rd."
"合作一村","Hezuo 1st Vil."
"合作一街","Hezuo 1st St."
"合作街","Hezuo St."
"合作路","Hezuo Rd."
"合利街","Heli St."
"合利街一段","Sec. 1, Heli St."
"合和","Hehe"
"合和一巷","Hehe 1st Ln."
"合和二巷","Hehe 2nd Ln."
"合和三巷","Hehe 3rd Ln."
"合和巷","Hehe Ln."
"合和街","Hehe St."
"合和路","Hehe Rd."
"合定路","Heding Rd."
"合宜一路","Heyi 1st Rd."
"合宜路","Heyi Rd."
"合信街","Hesin St."
"合流","Heliou"
"合流坪","Heliouping"
"合界頭","Hejietou"
"合家城","Hejiacheng"
"合浦街","Hepu St."
"合森巷","Hesen Ln."
"合順街","Heshun St."
"合意新村","Heyi New Village"
"合溪巷","Hesi Ln."
"合群新村","Hecyun New Village"
"合德新村","Hede New Village"
"合興","Hesing"
"合興一街","Hesing 1st St."
"合興二街","Hesing 2nd St."
"合興巷","Hesing Ln."
"合興街","Hesing St."
"合興路","Hesing Rd."
"合歡巷","Hehuan Ln."
"吉山","Jishan"
"吉井巷","Jijing Ln."
"吉太街","Jitai St."
"吉民","Jimin"
"吉田","Jitian"
"吉田路","Jitian Rd."
"吉多街","Jiduo St."
"吉安","Ji'an"
"吉安一巷","Ji'an 1st Ln."
"吉安一街","Ji'an 1st St."
"吉安二巷","Ji'an 2nd Ln."
"吉安街","Ji'an St."
"吉安路","Ji'an Rd."
"吉安路一段","Sec. 1, Ji'an Rd."
"吉安路二段","Sec. 2, Ji'an Rd."
"吉安路三段","Sec. 3, Ji'an Rd."
"吉安路五段","Sec. 5, Ji'an Rd."
"吉安路六段","Sec. 6, Ji'an Rd."
"吉羊路","Jiyang Rd."
"吉利一街","Jili 1st St."
"吉利七街","Jili 7th St."
"吉利九街","Jili 9th St."
"吉利二街","Jili 2nd St."
"吉利十一街","Jili 11th St."
"吉利十二街","Jili 12th St."
"吉利十街","Jili 10th St."
"吉利三街","Jili 3rd St."
"吉利五街","Jili 5th St."
"吉利六街","Jili 6th St."
"吉利四街","Jili 4th St."
"吉利街","Jili St."
"吉利路","Jili Rd."
"吉貝","Jibei"
"吉貝耍","Jibeishua"
"吉昌一街","Jichang 1st St."
"吉昌二街","Jichang 2nd St."
"吉昌三街","Jichang 3rd St."
"吉昌街","Jichang St."
"吉林一街","Jilin 1st St."
"吉林二街","Jilin 2nd St."
"吉林二路","Jilin 2nd Rd."
"吉林三街","Jilin 3rd St."
"吉林三路","Jilin 3rd Rd."
"吉林五街","Jilin 5th St."
"吉林北路","Jilin N. Rd."
"吉林街","Jilin St."
"吉林路","Jilin Rd."
"吉林路一段","Sec. 1, Jilin Rd."
"吉林路二段","Sec. 2, Jilin Rd."
"吉長二街","Jichang 2nd St."
"吉長街","Jichang St."
"吉城一街","Jicheng 1st St."
"吉城二街","Jicheng 2nd St."
"吉星新村","Jising New Village"
"吉星路","Jising Rd."
"吉洋街","Jiyang St."
"吉峰西路","Jifong W. Rd."
"吉峰東路","Jifong E. Rd."
"吉峰路","Jifong Rd."
"吉泰路","Jitai Rd."
"吉海路","Jihai Rd."
"吉祥","Jisiang"
"吉祥一巷","Jisiang 1st Ln."
"吉祥一街","Jisiang 1st St."
"吉祥七街","Jisiang 7th St."
"吉祥九街","Jisiang 9th St."
"吉祥二巷","Jisiang 2nd Ln."
"吉祥二街","Jisiang 2nd St."
"吉祥八街","Jisiang 8th St."
"吉祥十二街","Jisiang 12th St."
"吉祥三街","Jisiang 3rd St."
"吉祥五街","Jisiang 5th St."
"吉祥五街西段","Sec. W., Jisiang 5th St."
"吉祥五街東段","Sec. E., Jisiang 5th St."
"吉祥六街","Jisiang 6th St."
"吉祥四街","Jisiang 4th St."
"吉祥巷","Jisiang Ln."
"吉祥街","Jisiang St."
"吉祥新村","Jisiang New Village"
"吉祥路","Jisiang Rd."
"吉頂","Jiding"
"吉善一街","Jishan 1st St."
"吉善二街","Jishan 2nd St."
"吉善路","Jishan Rd."
"吉港路","Jigang Rd."
"吉隆街","Jilong St."
"吉隆路","Jilong Rd."
"吉福路","Jifu Rd."
"吉慶街","Jicing St."
"吉慶路","Jicing Rd."
"吉潭","Jitan"
"吉興一街","Jising 1st St."
"吉興二街","Jising 2nd St."
"吉興三街","Jising 3rd St."
"吉興五街","Jising 5th St."
"吉興六街","Jising 6th St."
"吉興四街","Jising 4th St."
"吉興巷","Jising Ln."
"吉興街","Jising St."
